Peptide_Name,Category,Mechanism/Primary_Effects,Typical_Dosage_Range,Gender_Specific_Notes,Route,Clinical_Status,Key_References
Ipamorelin,GH Secretagogue,"GHRH receptor agonist; increases GH/IGF-1, lean mass gain, fat loss",1.25–5 mg/day (subQ),"Women often start at 1.25–2.5 mg due to higher GHRH receptor sensitivity; men may use up to 5 mg",Subcutaneous,Investigational,"Khosla et al., JCEM 2003"
CJC-1295 (no DAC),GHRH Analog,"GHRH analog; elevates GH/IGF-1, tissue repair, body composition modulation",0.5–1 mg/day (subQ),"No sex-specific dosing established; weight/BMI adjustments typical",Subcutaneous,Investigational,"Björnsson et al., JCEM 2003"
Semaglutide,GLP-1 Agonist,"GLP-1R agonist; appetite suppression, insulin secretion, glycemic control, weight loss",0.25–2.4 mg/week (oral/subQ),"Dosing identical across sexes in trials; BMI/weight adjustments apply",Oral/Subcutaneous,FDA-Approved,"Aroda et al., NEJM 2019"
Liraglutide,GLP-1 Agonist,"GLP-1R agonist; diabetes & obesity management, cardiovascular risk reduction",0.6–3 mg/day (subQ),"No sex-based dosing differences in clinical guidelines",Subcutaneous,FDA-Approved,"Marre et al., Lancet 2015"
Dulaglutide,GLP-1 Agonist,"GLP-1R agonist; T2DM control, weight management",0.75–4.5 mg/week (subQ),"Identical dosing across sexes; renal/hepatic adjustments apply",Subcutaneous,FDA-Approved,"FDA Label"
Tirzepatide,GLP-1/GIP Agonist,"Dual GLP-1R/GIPR agonism; potent weight loss, glycemic control",5–15 mg/week (subQ),"No sex-specific dosing; trials show similar efficacy across genders",Subcutaneous,FDA-Approved,"Jastreboerski et al., NEJM 2022"
Exenatide,GLP-1 Agonist,"GLP-1R agonist; postprandial glucose control, weight loss",5–10 mcg/kg/day (subQ),"Dosing weight-based; no sex-specific adjustments in guidelines",Subcutaneous,FDA-Approved,"Gottlieb et al., NEJM 2004"
Albiglutide,GLP-1 Agonist,"GLP-1R agonist; T2DM management, cardiovascular outcomes",30–60 mg/day (subQ),"Identical dosing across sexes; renal dose adjustments apply",Subcutaneous,FDA-Approved,"FDA Label"
Lixisenatide,GLP-1 Agonist,"GLP-1R agonist; glycemic control, weight neutrality",20–40 mcg/day (oral/subQ),"No sex-based dosing differences established",Oral/Subcutaneous,EMA-Approved,"Buse et al., Diabetes Care 2015"
BPC-157,Gut/Repair Peptide,"Angiogenesis, tendon/ligament healing, GI mucosal protection, anti-inflammatory",0.5–2 mg/day (oral/subQ),"Limited human data; anecdotal reports suggest similar efficacy across sexes",Oral/Subcutaneous,Investigational,"Krasnov et al., Biochem Biophys Res Commun 1996"
TB-500 (Thymosin Beta-4),Tissue Repair,"Muscle/tendon healing, anti-inflammatory, angiogenesis, cytoprotection",2.5–5 mg/week (subQ),"No established sex-specific dosing; weight-based adjustments typical",Subcutaneous,Investigational,"Khan et al., J Cell Physiol 2013"
Oxytocin,Neuroendocrine,"Uterine contraction, lactation initiation, social bonding, anxiety reduction","1–40 IU (IV/IM) or 10–40 ng/kg (nasal)","Primarily used in women for obstetrics/lactation; men studied at lower nasal doses for cognition/mood",Nasal/IV/IM,FDA-Approved,"Brandt et al., Psychoneuroendocrinology 2017"
Carbetocin,Neuroendocrine Analog,"Oxytocin analog; postpartum hemorrhage control","10–30 mcg (IV/SC)","Used almost exclusively in women for obstetric indications",Intravenous/Subcutaneous,FDA-Approved,"FDA Label"
Thymosin Alpha-1,Immune Modulator,"T-cell activation, antiviral, anti-inflammatory, CF/IBD management",0.5–1 mg/kg/day (subQ),"Dosing weight-based; no sex-specific adjustments in clinical trials",Subcutaneous,FDA-Approved,"Sly et al., JCF 2003"
Selank,Neurotropic Peptide,"Anxiolytic, cognitive enhancement, immune modulation, telomerase activation",10–50 mg/day (oral/nasal),"Similar dosing across sexes; women may show stronger anxiolytic response in some studies",Nasal/Oral,Investigational,"Kuznetsov et al., Bull Exp Biol Med 2003"
