Steroid_Name,Class/Subclass,Mechanism_of_Action,Primary_Clinical_Effects,Typical_Dosage_Range_Men,Typical_Dosage_Range_Women,Gender_Specific_Notes,Route,Clinical_Status,Pharmacokinetics_(Half-Life/Onset),Key_Adverse_Effects,Monitoring_Parameters,Key_References
Hydrocortisone (Cortisol),Glucocorticoid,"Mineralocorticoid & glucocorticoid receptor agonist; mimics endogenous cortisol",Adrenal replacement, anti-inflammatory, immunosuppression,"20–30 mg/day (replacement) or 40–160 mg/day (acute)",Same as men; weight-adjusted for pediatric/geriatric,"Women often require slightly lower doses due to higher receptor sensitivity & HPA axis suppression risk",Oral/IV/IM,FDA-Approved,"T½: 8–12 hrs; Onset: 30–60 min","HPA suppression, hyperglycemia, osteoporosis, Cushingoid features, mood changes","ACTH stim test, bone DEXA, fasting glucose, BP, electrolytes","Endocrine Society Guidelines 2017; FDA Label"
Prednisone/Prednisolone,Glucocorticoid,"Potent glucocorticoid receptor agonist; anti-inflammatory & immunosuppressive","RA, asthma, IBD, lupus, dermatology","5–60 mg/day (oral) or 40–120 mg/day (pulse IV)","Same range; women often start at lower end due to higher sensitivity & osteoporosis risk",Women show greater HPA suppression & bone loss at equivalent doses,Oral/IV,FDA-Approved,"T½: 3–4 hrs (prednisone); Active metabolite T½: 2–3 hrs","HPA axis suppression, hyperglycemia, myopathy, osteoporosis, cataracts, mood lability","DEXA scan, fasting glucose/HbA1c, BP, electrolytes, IGF-1","UpToDate Corticosteroid Dosing; NEJM 2018"
Methylprednisolone,Glucocorticoid,"High-potency glucocorticoid; minimal mineralocorticoid activity","MS relapses, SLE nephritis, transplant rejection","40–60 mg/day (oral) or 500–1000 mg/day (IV pulse)","Same ranges; women may experience greater bone density loss & metabolic effects",Sex-dimorphic bone metabolism increases osteoporosis risk in women on long-term therapy,Oral/IV,FDA-Approved,"T½: 2–3 hrs","HPA suppression, hyperglycemia, myopathy, avascular necrosis, mood changes, fluid retention","DEXA, glucose, BP, electrolytes, liver enzymes, CBC","FDA Label; Arthritis Rheum 2015"
Dexamethasone,Glucocorticoid,"Ultra-potent glucocorticoid; minimal mineralocorticoid effect","Cerebral edema, leukemia/lymphoma, osteoporosis prophylaxis","0.75–6 mg/day (oral) or 4–16 mg/day (IV)","Same ranges; women often dosed lower due to higher CNS sensitivity & HPA suppression",Women show greater cognitive/mood side effects at equivalent doses,Oral/IV,FDA-Approved,"T½: 3–6 hrs","HPA suppression, hyperglycemia, myopathy, osteoporosis, mood changes, insomnia","DEXA, glucose, BP, electrolytes, cortisol/ACTH axis","FDA Label; JCEM 2019"
Betamethasone,Glucocorticoid,"Potent glucocorticoid; fetal lung maturation & anti-inflammatory","Preterm labor, dermatology, RA","0.5–6 mg/day (oral) or 12 mg IM x2 doses (fetal lungs)","Same ranges; women dosed for obstetric indications primarily",Primarily used in women for antenatal corticosteroid therapy,Oral/IM,FDA-Approved,"T½: 3–8 hrs","HPA suppression, hyperglycemia, myopathy, osteoporosis, mood changes","DEXA, glucose, BP, electrolytes, fetal monitoring if obstetric","FDA Label; ACOG Guidelines 2020"
Triamcinolone,Glucocorticoid,"Intermediate-acting glucocorticoid; anti-inflammatory & immunosuppressive","RA, dermatology, ophthalmology, asthma","4–16 mg/day (oral) or 10–40 mg IM/IA","Same ranges; women may experience greater bone loss & metabolic effects",Long-term use increases osteoporosis risk more in women due to baseline estrogen interactions,Oral/IM/IA,FDA-Approved,"T½: 2–3 hrs (systemic); Local depot: weeks-months","HPA suppression, hyperglycemia, myopathy, osteoporosis, local tissue atrophy","DEXA, glucose, BP, electrolytes, local imaging if IA","FDA Label; UpToDate"
Fludrocortisone,Mineralocorticoid,"Potent mineralocorticoid receptor agonist; sodium retention & potassium excretion","Addison's disease, orthostatic hypotension, POTS","0.1–0.2 mg/day (oral)","Same range; women may require slightly lower doses due to higher renal sensitivity",Women show greater BP elevation & fluid retention at equivalent doses,Oral,FDA-Approved,"T½: 3–4 hrs","Hypertension, hypokalemia, metabolic alkalosis, edema, heart failure","BP, serum potassium, sodium, ECG, volume status","FDA Label; Endocrine Society 2017"
Budesonide,Glucocorticoid,"High first-pass metabolism glucocorticoid; topical/systemic anti-inflammatory","IBD (Crohn's/UC), asthma, dermatology","3–9 mg/day (oral) or 160–800 mcg/day (inhaled)","Same ranges; women may show greater HPA suppression with systemic use",Systemic bioavailability higher in women due to CYP3A4 polymorphisms,Oral/Inhaled,FDA-Approved,"T½: 3 hrs (systemic); Local: hours","HPA suppression, hyperglycemia, myopathy, osteoporosis, local candidiasis (inhaled)","DEXA, glucose, BP, electrolytes, sputum culture if inhaled","FDA Label; Gastroenterology 2018"
Ciclesonide,Glucocorticoid,"Prodrug glucocorticoid; activated locally in lung/skin","Asthma, dermatitis","160–320 mcg/day (inhaled) or 0.1% cream TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower systemic bioavailability reduces HPA suppression risk equally across sexes,Inhaled/Topical,FDA-Approved,"T½: 4 hrs (local activation)","Local irritation, candidiasis, voice hoarseness, rare HPA suppression","Lung function, sputum culture, BP, electrolytes","FDA Label; JACI 2019"
Beclomethasone,Glucocorticoid,"Inhaled glucocorticoid; anti-inflammatory & bronchodilatory support","Asthma, COPD maintenance","40–800 mcg/day (inhaled)","Same ranges; women may show greater airway responsiveness to dose",Women often require lower doses for equivalent FEV1 improvement due to receptor sensitivity,Inhaled,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local candidiasis, dysphonia, rare HPA suppression, myopathy at high doses","Lung function, sputum culture, DEXA if chronic high dose","FDA Label; GINA Guidelines 2023"
